,return,abs_ret,rv_30d,sent_bank_7d,sent_macro_7d,boe_rate_z,yield_10y_z
return,1.0,-0.027249170482552636,0.012563810157962468,0.010340112568645754,-0.019651086762200298,-0.018385892062029476,-0.023214424600422546
abs_ret,-0.027249170482552636,1.0,0.4127232884633613,0.04444052356125401,0.0416268814816861,0.07846944721737992,0.04959790168243043
rv_30d,0.012563810157962468,0.4127232884633613,1.0,0.14202608496818872,0.11161359819755398,0.14016831128232582,0.058894471935961694
sent_bank_7d,0.010340112568645754,0.04444052356125401,0.14202608496818872,1.0,0.3177598261153589,0.02396857271115169,0.227417771033273
sent_macro_7d,-0.019651086762200298,0.0416268814816861,0.11161359819755398,0.3177598261153589,1.0,-0.06858858983919784,0.13687734309237773
boe_rate_z,-0.018385892062029476,0.07846944721737992,0.14016831128232582,0.02396857271115169,-0.06858858983919784,1.0,0.7194916789190196
yield_10y_z,-0.023214424600422546,0.04959790168243043,0.058894471935961694,0.227417771033273,0.13687734309237773,0.7194916789190196,1.0
