Model,#Breaches,BreachRate,Kupiec_p,Christoff_p,PinballLoss,MeanExcess
GARCH,28,0.03294117647058824,0.015226657572857238,0.04256209610314465,7.981637055005841,0.6232444802703094
FHS,44,0.05176470588235294,0.8143868325720456,0.08751226247212873,6.917033131827146,0.5898190950788114
HS,37,0.04352941176470588,0.3765300272455602,0.016962898886066835,7.081560610343789,0.7059976272653499
LSTM,44,0.05176470588235294,0.8143868325720456,0.24856901858693714,6.531294300238439,0.5872810843617292
HybridFeat,39,0.04588235294117647,0.5766762378447402,0.31938785827240324,6.790122705282098,0.6107360703055567
HybridEns,33,0.03882352941176471,0.12028861214273445,0.12536949921545126,7.240877628250966,0.6419837561240297
