,#Breaches,Kupiec_p,Christoffersen_p,QLoss
GARCH,33.0,0.04603369693930115,0.1023226539843497,0.10846678541274218
HS,46.0,0.9394833590180692,0.0013587977461827494,0.11331177223681126
FHS,49.0,0.5988258182260582,0.1619448955837136,0.10896479276534052
