Date,LSTM,FHS,GARCH,HS
2022-03-28,2.2384014173202122,2.466034900370939,2.865167752253151,2.0167257946723
2022-03-29,1.9038347956441366,2.1735211281705342,2.5595854393000432,1.7977604026638883
2022-03-30,1.0985235520536154,1.4790530522662613,1.8542705436977014,1.164337093281283
2022-03-31,1.7993719001237893,2.086195110350633,2.4575775205457346,1.7930625873570876
2022-04-01,2.469147818524867,2.724739493803387,3.0858792949984672,2.489251302732347
2022-04-04,1.7703765871025752,2.080054368010074,2.4280661459534256,1.9184493184127929
2022-04-05,2.3293398984064075,2.5964437082538083,2.9344327586608716,2.4912455207040214
2022-04-06,1.3730106193404013,1.5426768125774384,1.9609435085820213,1.457756944122684
2022-04-07,1.8786785338498435,1.9846979939254459,2.3953511905550697,1.9314694376612096
2022-04-08,1.0140978893831478,1.1008744938054484,1.499080743856047,1.0994565505626017
2022-04-11,1.712332289726377,1.9306601018741112,2.328963837215962,1.9288363745565722
2022-04-12,0.8270707147709261,1.0346083584656756,1.4212713176821816,1.0812395468392806
2022-04-13,2.196394915325852,2.304069532653057,2.691654888105371,2.3468612320305136
2022-04-14,1.456394988322443,1.6071668537598003,1.9811416324293245,1.7066127953816421
2022-04-15,2.1983333922132817,2.416638228345482,2.782582473273917,2.5495113943370256
2022-04-18,2.1622059977754917,2.3624780117263255,2.7154108428988812,2.5495113943370256
2022-04-19,1.8096717176579415,2.015491218907181,2.355971540971857,2.254358368654061
2022-04-20,0.526665839109233,0.7509215693279792,1.0802428776515804,1.0362382911822414
2022-04-21,1.3782298797644195,1.7154252331004813,2.0521494279582875,1.9699273220622664
2022-04-22,0.5120476541623232,0.7945671360174189,1.122374617385934,1.0861851866396133
2022-04-25,0.19583695493895698,0.3451171815330163,0.6787747341987729,0.6123842173738276
2022-04-26,1.1862661006973532,1.312936903692215,1.5936753444795597,1.4363477826688142
2022-04-27,2.12301060347443,2.0966997008133172,2.4449690403786093,2.2373376055917467
2022-04-28,0.03123361783265275,0.031155257311975538,0.013442637786991441,0.021183550968931843
2022-04-29,2.1049972545335627,2.4532443211693935,2.8405790222659077,2.4312720374984287
2022-05-02,2.249948469470438,2.4478365939077733,2.821275913047093,2.4837040585475934
2022-05-03,0.8723559838512279,1.062866086733691,1.422973580128727,1.1542274879884264
2022-05-04,1.9070378204735103,2.215841040575752,2.5766500257505434,2.304282471144675
2022-05-05,0.5054987622986862,0.7516609583458215,1.099893825466635,0.8924506802542442
2022-05-06,1.5207970845617997,1.6785672678572612,2.0337190602419706,1.7905568533550655
2022-05-09,0.5959954382144987,0.7081842084565901,1.0543709436010222,0.8574909872468696
2022-05-10,2.21572578512079,2.2692027200724327,2.623340861413564,2.385411644154534
2022-05-11,0.9924398722406648,1.0706053771806714,1.4123309472911574,1.2384818263500161
2022-05-12,1.444750586899189,1.6372377211767293,1.9794551357519647,1.8030668599420272
2022-05-13,0.3087707882106771,0.4086050371272408,0.7424144690386333,0.6094325374040281
2022-05-16,1.9259676366198237,2.211757551915831,2.56198789666026,2.344232741459308
2022-05-17,1.2372233093625207,1.4493710983600556,1.7874423244463884,1.6324588126280613
2022-05-18,1.7782104846275673,2.0406652845293456,2.3729167165446503,2.2479779841432603
2022-05-19,1.1196791753249742,1.3134599933015938,1.6345714545751506,1.5671429982354426
2022-05-20,1.9548315613992673,2.078553844948035,2.3955336287673594,2.3494350229720737
2022-05-23,0.12650564580195992,0.23888606545540764,0.5451603203148906,0.5543291779752761
2022-05-24,0.8650758812036223,1.1462474907083482,1.4741339571216936,1.3717294290362707
2022-05-25,1.5301202192287553,1.7694310038765013,2.0963500272286537,1.9989399393274103
2022-05-26,0.8087382677314683,0.980458242804704,1.2981123768690725,1.2485324272126763
2022-05-27,1.3068249112961234,1.5063549397908236,1.8262407931551154,1.7651395571321595
2022-05-30,1.994014464280312,2.1615490840189495,2.4749573987681943,2.447296558827743
2022-05-31,1.9153830465331243,2.036443788340704,2.3391407606339736,2.3667773964154097
2022-06-01,1.8608249399370467,1.956235455180562,2.2487775518116,2.3288388946453056
2022-06-02,1.9974389231905307,2.071102891927088,2.3540359616781568,2.4837040585475934
2022-06-03,1.9728285945162143,2.032103893327286,2.3056678700701942,2.4837040585475934
2022-06-06,1.2733184218472187,1.3061984577006212,1.5953699776085066,1.6660342888591047
2022-06-07,1.326604211552403,1.3831076992642135,1.668066744517967,1.7586316902166634
2022-06-08,1.6776918328343262,1.6393916158888087,1.918803902260016,2.035572927497808
2022-06-09,0.6539969466695437,0.5661934246546068,0.8376715490157232,0.9919232586086453
2022-06-10,0.004605797628561037,0.007559870307981432,0.1295219951116514,0.22744491631700658
2022-06-13,1.5370998947472319,1.3550117951816252,1.6406765397907406,1.6864697486989515
2022-06-14,0.9441501777553817,0.6836533680684623,0.9649052002678404,1.034118191735559
2022-06-15,0.81099637766107,0.6683107236362114,0.958497005661183,0.9802939478679776
2022-06-16,0.037277857144405326,0.04205449982889096,0.026290508041802108,0.02774924529731695
2022-06-17,2.6155767590687593,2.4768128276264694,2.7707885925598643,2.645507711619107
2022-06-20,0.08629192988238558,0.0034443543706694224,0.21806948736741227,0.16037859932879053
2022-06-21,2.1584836046878797,2.3099489006802587,2.620243470954687,2.389550133009559
2022-06-22,2.4037210276382543,2.392061852975823,2.7567295678084722,2.595076289203876
2022-06-23,0.05974734058798393,0.044465995318703024,0.3961309122401047,0.30348482695180834
2022-06-24,0.9704912215104661,0.9710924410903867,1.2816016421628562,1.1404133155178717
2022-06-27,2.055886526205276,2.2307474481521785,2.5447430586098188,2.3810340282899216
