Feature,SHAP
abs_ret,0.004951406970273635
rv_30d,0.004237310612309301
return,0.0038308813980742445
ret_mean_5d,0.0031727041813574847
sent_bank_7d,0.0003742548908048868
sent_macro_7d,0.00027406272534335433
yield_10y_z,5.7001391956623555e-05
boe_rate_z,4.172123668671664e-05
yield_10y_diff_z,2.389137974869976e-05
vol_macro_30d,1.8514029590788012e-06
vol_bank_30d,1.4314267290336669e-06
boe_rate_diff_z,2.735958879739158e-07
