Feature,Importance
rv_30d,0.008662982266696817
ret_mean_5d,0.00787162459773827
abs_ret,0.006643332041475686
return,0.0052374658418493925
sent_bank_7d,0.0004275474531940937
sent_macro_7d,0.00018514472792674486
yield_10y_diff_z,2.405019694473598e-05
vol_macro_30d,-2.1942427883003823e-06
vol_bank_30d,-3.7511578254434408e-06
boe_rate_diff_z,-1.298555985967953e-05
yield_10y_z,-2.535720706103861e-05
boe_rate_z,-0.00014794778310134316
